rule,old_F_present,old_F_confidence,old_F_support,old_M_present,young_F_present,young_F_confidence,young_F_support,young_M_present,old_M_confidence,old_M_support,young_M_confidence,young_M_support
(arousal_high) => arousal_high before arousal_high,True,0.7333,0.6111,False,True,0.7,0.6562,False,,,,
(arousal_high) => arousal_high before eda_low,True,0.5333,0.4444,False,False,,,False,,,,
(arousal_high) => arousal_high before eda_peaks_medium,False,,,False,True,0.6333,0.5938,False,,,,
(arousal_high) => arousal_high before eda_std_high,False,,,True,False,,,False,0.6098,0.5814,,
(arousal_high) => arousal_high before eda_std_low,True,0.5333,0.4444,False,False,,,False,,,,
(arousal_high) => arousal_high before eda_std_medium,False,,,False,True,0.5,0.4688,False,,,,
(arousal_high) => arousal_high before hr_high,True,0.6,0.5,False,False,,,False,,,,
(arousal_high) => arousal_high before hr_medium,True,0.5333,0.4444,False,True,0.6,0.5625,False,,,,
(arousal_high) => arousal_high before valence_medium,False,,,False,False,,,True,,,0.6,0.5357
(arousal_high) => arousal_high contains eda_peaks_medium,True,0.6667,0.5556,True,False,,,False,0.7073,0.6744,,
(arousal_high) => arousal_high equals eda_max_low,False,,,False,False,,,True,,,0.52,0.4643
(arousal_high) => arousal_high equals eda_scr_amp_high,True,0.5333,0.4444,False,False,,,False,,,,
(arousal_high) => arousal_high equals eda_scr_auc_medium,False,,,False,False,,,True,,,0.6,0.5357
(arousal_high) => arousal_high equals valence_high,False,,,False,True,0.5,0.4688,False,,,,
(arousal_high) => arousal_high is-finished-by eda_high,False,,,False,True,0.5333,0.5,False,,,,
(arousal_high) => arousal_high is-finished-by eda_peaks_high,True,0.6,0.5,False,True,0.6667,0.625,False,,,,
(arousal_high) => arousal_high is-finished-by eda_peaks_medium,False,,,False,False,,,True,,,0.68,0.6071
(arousal_high) => arousal_high is-finished-by eda_scr_amp_low,False,,,False,True,0.6333,0.5938,False,,,,
(arousal_high) => arousal_high is-finished-by eda_scr_auc_high,False,,,True,False,,,False,0.5854,0.5581,,
(arousal_high) => arousal_high is-finished-by eda_scr_auc_medium,False,,,True,False,,,False,0.7073,0.6744,,
(arousal_high) => arousal_high is-finished-by eda_std_high,False,,,False,False,,,True,,,0.56,0.5
(arousal_high) => arousal_high is-finished-by eda_std_medium,False,,,True,False,,,False,0.6341,0.6047,,
(arousal_high) => arousal_high is-finished-by hr_high,False,,,False,True,0.6333,0.5938,False,,,,
(arousal_high) => arousal_high is-finished-by valence_medium,False,,,False,True,0.6,0.5625,False,,,,
(arousal_high) => arousal_high meets arousal_high,False,,,True,False,,,False,0.6341,0.6047,,
(arousal_high) => arousal_high meets arousal_medium,False,,,False,False,,,True,,,0.52,0.4643
(arousal_high) => arousal_high meets eda_high,False,,,False,False,,,True,,,0.56,0.5
(arousal_high) => arousal_high meets eda_max_low,False,,,False,True,0.5333,0.5,False,,,,
