rule,has_emotion,self_confidence,ext_confidence,delta_confidence,self_support,ext_support
(emo_calm) => emo_calm is-finished-by eda_peaks_high,True,0.8696,0.5714,-0.2981,0.7143,0.5714
(emo_calm) => emo_calm meets eda_peaks_medium,True,0.6957,0.6429,-0.0528,0.5714,0.6429
(emo_calm) => emo_calm meets eda_scr_auc_medium,True,0.7391,0.5,-0.2391,0.6071,0.5
(emo_neutral) => emo_neutral is-finished-by eda_std_low,True,0.625,0.5714,-0.0536,0.5357,0.5714
(hr_low) => hr_low is-finished-by eda_std_medium,False,0.5833,0.5833,0.0,0.5,0.5
(hr_low) => hr_low meets eda_peaks_medium,False,0.625,0.625,0.0,0.5357,0.5357
(hr_low) => hr_low meets eda_scr_auc_low,False,0.625,0.625,0.0,0.5357,0.5357
(hr_low) => hr_low meets eda_std_low,False,0.75,0.75,0.0,0.6429,0.6429
(hr_medium) => hr_medium is-finished-by eda_peaks_high,False,0.5769,0.5385,-0.0385,0.5357,0.5
(hr_medium) => hr_medium is-finished-by eda_std_low,False,0.6538,0.6538,0.0,0.6071,0.6071
(hr_medium) => hr_medium meets eda_peaks_medium,False,0.6538,0.5769,-0.0769,0.6071,0.5357
(hr_medium) => hr_medium meets eda_scr_auc_low,False,0.5385,0.5385,0.0,0.5,0.5
