rule,present_in_count,present_in,avg_confidence,avg_lift,avg_support,CASE_confidence,CASE_lift,CASE_support,K-emoCon_confidence,K-emoCon_lift,K-emoCon_support,CEAP_confidence,CEAP_lift,CEAP_support,EmoWorker_confidence,EmoWorker_lift,EmoWorker_support,K-emoCon (ext)_confidence,K-emoCon (ext)_lift,K-emoCon (ext)_support,EMBOA_confidence,EMBOA_lift,EMBOA_support
(arousal_medium) => arousal_medium equals valence_medium,4,"CASE, CEAP, EmoWorker, EMBOA",0.8354166666666667,0.8354166666666667,0.8286962365591397,0.6333333333333333,0.6333333333333333,0.6333333333333333,,,,0.9375,0.9375,0.9375,0.8333333333333333,0.8333333333333333,0.8064516129032258,,,,0.9375,0.9375,0.9375
hrv_pnn20_high equals hrv_pnn50_high AND hrv_pnn20_high equals hrv_rmssd_high AND hrv_pnn50_high equals hrv_rmssd_high => hrv_pnn20_high equals hrv_pnn50_high AND hrv_pnn20_high equals hrv_rmssd_high AND hrv_pnn20_high meets valence_medium AND hrv_pnn50_high equals hrv_rmssd_high AND hrv_pnn50_high meets valence_medium AND hrv_rmssd_high meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7976190476190477,0.7976190476190477,0.3252880184331797,1.0,1.0,0.3,0.6428571428571429,0.6428571428571429,0.32142857142857145,,,,0.7142857142857143,0.7142857142857143,0.3225806451612903,0.8333333333333334,0.8333333333333334,0.35714285714285715,,,
hrv_pnn20_high equals hrv_rmssd_high => hrv_pnn20_high equals hrv_rmssd_high AND hrv_pnn20_high meets valence_medium AND hrv_rmssd_high meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7961118742368742,0.7961118742368742,0.4096006144393241,0.9285714285714286,0.9285714285714286,0.43333333333333335,0.6875,0.6875,0.39285714285714285,,,,0.7222222222222222,0.7222222222222222,0.41935483870967744,0.8461538461538461,0.8461538461538461,0.39285714285714285,,,
(eda_medium) => eda_medium meets valence_medium,4,"CASE, K-emoCon, CEAP, K-emoCon (ext)",0.7629807692307693,0.7629807692307693,0.6776785714285715,0.8,0.8,0.8,0.5769230769230769,0.5769230769230769,0.5357142857142857,0.8,0.8,0.625,,,,0.875,0.875,0.75,,,
(hrv_pnn20_medium) => hrv_pnn20_medium meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7625,0.7625,0.6601958525345623,0.9,0.9,0.9,0.65,0.65,0.4642857142857143,,,,0.5,0.5,0.41935483870967744,1.0,1.0,0.8571428571428571,,,
(eda_std_medium) => eda_std_medium meets arousal_medium,4,"CASE, CEAP, EmoWorker, EMBOA",0.7499405500413565,0.755048076923077,0.7120799731182795,0.7666666666666667,0.7666666666666667,0.7666666666666667,,,,0.8076923076923077,0.8076923076923077,0.65625,0.6129032258064516,0.6333333333333333,0.6129032258064516,,,,0.8125,0.8125,0.8125
(eda_medium) => eda_medium meets arousal_medium,4,"CASE, CEAP, EmoWorker, K-emoCon (ext)",0.7479166666666667,0.7534722222222222,0.6764688940092165,0.9,0.9,0.9,,,,0.8,0.8,0.625,0.6666666666666666,0.6888888888888888,0.6451612903225806,0.625,0.625,0.5357142857142857,,,
(hrv_rmssd_low) => hrv_rmssd_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7430900621118013,0.7430900621118013,0.6674539170506912,0.8,0.8,0.8,0.5652173913043479,0.5652173913043479,0.4642857142857143,,,,0.6071428571428571,0.6071428571428571,0.5483870967741935,1.0,1.0,0.8571428571428571,,,
(hrv_cvsd_low) => hrv_cvsd_low meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7389277389277389,0.7389277389277389,0.6507296466973886,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5454545454545454,0.5454545454545454,0.42857142857142855,,,,0.5769230769230769,0.5769230769230769,0.4838709677419355,1.0,1.0,0.8571428571428571,,,
hrv_pnn50_high equals hrv_rmssd_high => hrv_pnn50_high equals hrv_rmssd_high AND hrv_pnn50_high meets valence_medium AND hrv_rmssd_high meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7372282608695653,0.7372282608695653,0.503110599078341,0.9,0.9,0.6,0.5217391304347826,0.5217391304347826,0.42857142857142855,,,,0.6521739130434783,0.6521739130434783,0.4838709677419355,0.875,0.875,0.5,,,
hrv_cvnn_high equals hrv_sdnn_high => hrv_cvnn_high equals hrv_sdnn_high AND hrv_cvnn_high meets valence_medium AND hrv_sdnn_high meets valence_medium,4,"CASE, K-emoCon, EmoWorker, K-emoCon (ext)",0.7340272713556466,0.7340272713556466,0.5974846390168971,0.8214285714285715,0.8214285714285715,0.7666666666666667,0.5769230769230769,0.5769230769230769,0.5357142857142857,,,,0.6956521739130435,0.6956521739130435,0.5161290322580645,0.8421052631578947,0.8421052631578947,0.5714285714285714,,,
