rule,CASE_confidence,CASE_lift,CASE_support,CASE_count,K-emoCon_confidence,K-emoCon_lift,K-emoCon_support,K-emoCon_count,CEAP_confidence,CEAP_lift,CEAP_support,CEAP_count,EmoWorker_v2_confidence,EmoWorker_v2_lift,EmoWorker_v2_support,EmoWorker_v2_count,avg_confidence,avg_lift,min_confidence,min_lift,avg_support,min_support
hrv_cvnn_medium equals hrv_rmssd_low => hrv_cvnn_medium equals hrv_rmssd_low AND hrv_cvnn_medium meets valence_medium AND hrv_rmssd_low meets valence_medium,1.0,1.0,0.1333,4,0.8,0.8,0.2857,8,0.75,0.75,0.0938,3,0.7778,0.7778,0.2258,7,0.8319,0.8319,0.75,0.75,0.1847,0.0938
hrv_cvnn_medium equals hrv_cvsd_low AND hrv_cvnn_medium equals hrv_rmssd_low AND hrv_cvsd_low equals hrv_rmssd_low => hrv_cvnn_medium equals hrv_cvsd_low AND hrv_cvnn_medium equals hrv_rmssd_low AND hrv_cvnn_medium meets valence_medium AND hrv_cvsd_low equals hrv_rmssd_low AND hrv_cvsd_low meets valence_medium AND hrv_rmssd_low meets valence_medium,1.0,1.0,0.1,3,0.7143,0.7143,0.1786,5,0.75,0.75,0.0938,3,0.8,0.8,0.129,4,0.8161,0.8161,0.7143,0.7143,0.1253,0.0938
hrv_cvnn_medium equals hrv_cvsd_low => hrv_cvnn_medium equals hrv_cvsd_low AND hrv_cvnn_medium meets valence_medium AND hrv_cvsd_low meets valence_medium,0.8333,0.8333,0.1667,5,0.7143,0.7143,0.1786,5,0.75,0.75,0.0938,3,0.8,0.8,0.129,4,0.7744,0.7744,0.7143,0.7143,0.142,0.0938
hrv_hfn_low meets arousal_medium => hrv_hfn_low meets arousal_medium AND hrv_hfn_low meets valence_medium AND arousal_medium equals valence_medium,0.7391,0.7391,0.5667,17,0.7273,0.7273,0.2857,8,0.75,0.75,0.0938,3,0.6923,0.6923,0.2903,9,0.7272,0.7272,0.6923,0.6923,0.3091,0.0938
hrv_cvnn_medium equals hrv_cvsd_low => hrv_cvnn_medium equals hrv_cvsd_low AND hrv_cvnn_medium equals hrv_rmssd_low AND hrv_cvnn_medium meets valence_medium AND hrv_cvsd_low equals hrv_rmssd_low AND hrv_cvsd_low meets valence_medium AND hrv_rmssd_low meets valence_medium,0.5,0.625,0.1,3,0.7143,1.5385,0.1786,5,0.75,6.0,0.0938,3,0.8,1.4588,0.129,4,0.6911,2.4056,0.5,0.625,0.1253,0.0938
hrv_hfn_low equals hrv_pnn50_high => hrv_hfn_low equals hrv_pnn50_high AND hrv_hfn_low meets valence_medium AND hrv_pnn50_high meets valence_medium,0.8333,0.8333,0.1667,5,0.5714,0.5714,0.1429,4,0.6,0.6,0.0938,3,0.7143,0.7143,0.1613,5,0.6798,0.6798,0.5714,0.5714,0.1411,0.0938
hrv_hfn_low equals hrv_rmssd_low => hrv_hfn_low equals hrv_rmssd_low AND hrv_hfn_low meets arousal_medium AND hrv_rmssd_low meets arousal_medium,0.8333,0.8333,0.3333,10,0.5,0.5,0.1429,4,0.75,0.75,0.0938,3,0.625,0.6458,0.1613,5,0.6771,0.6823,0.5,0.5,0.1828,0.0938
hrv_cvnn_high equals hrv_sdnn_high AND hrv_cvnn_high meets arousal_medium AND hrv_sdnn_high meets arousal_medium => hrv_cvnn_high equals hrv_sdnn_high AND hrv_cvnn_high meets arousal_medium AND hrv_cvnn_high meets valence_medium AND hrv_sdnn_high meets arousal_medium AND hrv_sdnn_high meets valence_medium AND arousal_medium equals valence_medium,0.913,0.913,0.7,21,0.5385,0.5385,0.25,7,0.5,0.5,0.0938,3,0.6875,0.6875,0.3548,11,0.6598,0.6598,0.5,0.5,0.3496,0.0938
hrv_cvnn_medium equals hrv_hfn_low => hrv_cvnn_medium equals hrv_hfn_low AND hrv_cvnn_medium meets valence_medium AND hrv_hfn_low meets valence_medium,0.6667,0.6667,0.1333,4,0.8571,0.8571,0.2143,6,0.5,0.5,0.0938,3,0.5714,0.5714,0.129,4,0.6488,0.6488,0.5,0.5,0.1426,0.0938
hrv_cvsd_low equals hrv_hfn_low => hrv_cvsd_low equals hrv_hfn_low AND hrv_cvsd_low meets arousal_medium AND hrv_hfn_low meets arousal_medium,0.9,0.9,0.3,9,0.5714,0.5714,0.1429,4,0.6,0.6,0.0938,3,0.5,0.5167,0.0968,3,0.6429,0.647,0.5,0.5167,0.1583,0.0938
hrv_sdnn_high meets arousal_medium => hrv_sdnn_high meets arousal_medium AND hrv_sdnn_high meets valence_medium AND arousal_medium equals valence_medium,0.9167,0.9167,0.7333,22,0.5385,0.5385,0.25,7,0.5,0.5,0.0938,3,0.6111,0.6111,0.3548,11,0.6416,0.6416,0.5,0.5,0.358,0.0938
hrv_cvnn_high meets arousal_medium => hrv_cvnn_high meets arousal_medium AND hrv_cvnn_high meets valence_medium AND arousal_medium equals valence_medium,0.913,0.913,0.7,21,0.5,0.5,0.25,7,0.5,0.5,0.0938,3,0.65,0.65,0.4194,13,0.6408,0.6408,0.5,0.5,0.3658,0.0938
hrv_cvsd_low equals hrv_hfn_low AND hrv_cvsd_low equals hrv_rmssd_low AND hrv_hfn_low equals hrv_rmssd_low => hrv_cvsd_low equals hrv_hfn_low AND hrv_cvsd_low equals hrv_rmssd_low AND hrv_cvsd_low meets arousal_medium AND hrv_hfn_low equals hrv_rmssd_low AND hrv_hfn_low meets arousal_medium AND hrv_rmssd_low meets arousal_medium,0.8889,0.8889,0.2667,8,0.5714,0.5714,0.1429,4,0.6,0.6,0.0938,3,0.5,0.5167,0.0968,3,0.6401,0.6442,0.5,0.5167,0.15,0.0938
hrv_cvsd_low equals hrv_hfn_low => hrv_cvsd_low equals hrv_hfn_low AND hrv_cvsd_low equals hrv_rmssd_low AND hrv_cvsd_low meets arousal_medium AND hrv_hfn_low equals hrv_rmssd_low AND hrv_hfn_low meets arousal_medium AND hrv_rmssd_low meets arousal_medium,0.8,1.0435,0.2667,8,0.5714,1.6,0.1429,4,0.6,4.8,0.0938,3,0.5,0.9118,0.0968,3,0.6179,2.0888,0.5,0.9118,0.15,0.0938
